z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,AR
0.0109296875,4.4783241843497281,0.0,316.16335842827152,0.8360092269744581,0.343695495981159,8.3784338008071218e-08,2.3867287313360765e-06,0.65590695676753719,1.1208993198604655e-05,0.00033071918297513238,4.761068139892711e-05,5.5378806618398374e-06,3.6281783729984671e-100
0.01093359375,4.5344457919500103,0.0,321.00233114469484,0.8256621715379693,0.3416388005232423,1.8621021212668818e-07,3.2709609947384453e-06,0.65777332683396905,1.6349997029860808e-05,0.0004875122505527353,7.2206711046562253e-05,8.3465129524488335e-06,3.5051127387071782e-100
0.010937499999999999,4.6090630619740711,0.0,327.323461666203,0.8122953261493905,0.33921831295050009,4.5639520773909614e-07,4.5233667075277068e-06,0.6599117031618309,2.411484574324385e-05,0.00071862279572524246,0.00010975077153940109,1.2515712745870649e-05,3.0135363159278704e-100
0.010941406249999999,4.707373343451553,0.0,335.53011483094792,0.7953310980041773,0.33638986793663106,1.1822844719745465e-06,6.3194015851177767e-06,0.66232708326748779,3.6016673119770929e-05,0.0010549222776057839,0.00016606730874929411,1.8540850348989352e-05,2.3154172189663115e-100
0.010943359375,4.7677496078767687,0.0,340.52561819604404,0.785259447656223,0.33479350489641224,1.9998756974157639e-06,7.5373361828093417e-06,0.66364580535034001,4.4546787636415687e-05,0.0012798592144487708,0.00020426515190025807,2.248138738202637e-05,2.0295260210829335e-100
0.010945312499999998,4.8370823045577689,0.0,346.22712871708325,0.774003872820771,0.33307255878867104,3.325436333996297e-06,9.03703314129689e-06,0.66502865371913245,5.5422522152642676e-05,0.0015529856790315395,0.00025084193321924468,2.7174888317932811e-05,1.8275236194551709e-100
0.010947265624999999,4.9163666601951226,0.0,352.71222473780659,0.761521812306776,0.33122249529194503,5.4603367831880161e-06,1.0892547188027221e-05,0.66646958241970822,6.9331197602727466e-05,0.0018827403365573095,0.00030680690157850984,3.2690968637016659e-05,1.7161366692452951e-100
0.01094921875,5.0066058301279979,0.0,360.05958079340525,0.7477961290427597,0.32923955271066851,8.8482928848257407e-06,1.319943817579993e-05,0.66796088383420271,8.7155558525825892e-05,0.0022783812871042578,0.000372902863180992,3.9076015257194478e-05,1.6780219791674865e-100
0.010951171874999999,5.1087755925248013,0.0,368.34639488903002,0.7328410495815589,0.32712084634500627,1.412457573709452e-05,1.6080562066145971e-05,0.66949333419289137,0.0001100080597898854,0.0027498546326389533,0.00044940923886233915,4.6342393007961493e-05,1.6734616089709054e-100
0.0109521484375,5.1646753768073781,0.0,372.87201277286596,0.7249091563162167,0.32600242483757358,1.7829954842551145e-05,1.7807636938961024e-05,0.67027606654306071,0.00012393198136440161,0.00301990454221354,0.00049171272762013065,5.0321776386056819e-05,1.6684446221000004e-100
0.010953124999999999,5.2240178216793698,0.0,377.66877275257139,0.716674521350893,0.3248480781347074,2.238626178577304e-05,1.975185059216177e-05,0.67106443982445385,0.00013974423161287333,0.0033144937712910904,0.00053658294641910733,5.45229791378117e-05,1.6544959265377454e-100
0.010954101562499999,5.2869056283758411,0.0,382.74503669210668,0.7081496693729111,0.32365770394651466,2.7959835046585113e-05,2.194154413917226e-05,0.67185678579315644,0.00015767124527809698,0.0036351757196898845,0.00058382689930013194,5.89350168748662e-05,1.6288028173057285e-100
0.010955078125,5.3534302117361223,0.0,388.10835696250552,0.6993498232923117,0.32243126814522188,3.4740058439192412e-05,2.4408478409970951e-05,0.6726513926675538,0.00017795448813133773,0.0039835064967801937,0.00063318632168068707,6.3543343782842103e-05,1.5896199551914506e-100
0.010956054687499999,5.4236699781932547,0.0,393.76534475045088,0.6902928250513797,0.32116880306891404,4.2940699748552422e-05,2.7188109598681223e-05,0.67344652114439052,0.00020084764769612507,0.0043610322947513717,0.00068433707153402613,6.832996336667257e-05,1.5366999033763759e-100
0.010957031249999999,5.4976887090270941,0.0,399.72154523547272,0.6809989919971354,0.31987040498930247,5.2800918529622442e-05,3.0319857569925061e-05,0.67424042020400643,0.00022661272261732346,0.0047692764219715829,0.00073689122193135821,7.3273664071322686e-05,1.4708896855413447e-100
0.0109580078125,5.575534101202531,0.0,405.98132356508029,0.6714909097409565,0.31853623081446919,6.4585879695152435e-05,3.3847362844072316e-05,0.67503134220860717,0.00025551496357049361,0.0052097263644272918,0.00079040203331845298,7.8350373068266906e-05,1.3943206513605727e-100
0.010958984375,5.657236517605071,0.0,412.54776555740068,0.6617931652711021,0.31716649412233294,7.8586915367779536e-05,3.7818729312123134e-05,0.67581755685284184,0.00028781668738763096,0.005683821272530829,0.00084437180741241244,8.3533612814429194e-05,1.3097402237789396e-100
0.010959960937499999,5.7428079953039894,0.0,419.42259686076477,0.6519320269069233,0.31576146064119154,9.5121186208846342e-05,4.228675120651583e-05,0.67659736361161626,0.00032377006875293582,0.0061929402783843755,0.00089826242522710097,8.8795037412564711e-05,1.2204631240392433e-100
